u|v|s
3534.0|122.0|0.0
3534.0|5506.0|0.0
3534.0|6468.0|0.0
3534.0|4384.0|0.0
3534.0|623.0|0.0
3534.0|3232.0|0.0
3534.0|1002.0|0.0
3534.0|1634.0|0.0
3534.0|26.0|0.0
3534.0|3707.0|0.0
3534.0|367.0|0.0
3534.0|6819.0|0.0
3534.0|6109.0|0.0
3534.0|3112.0|0.0
3534.0|2702.0|0.0
3534.0|1721.0|0.0
3534.0|6529.0|0.0
3534.0|764.0|0.0
3534.0|2711.0|0.0
3534.0|482.0|0.0
3534.0|7529.0|0.0
3534.0|7320.0|0.0
3534.0|97.0|0.0
3534.0|2000.0|0.0
3534.0|7400.0|0.0
3534.0|258.0|0.0
3534.0|692.0|0.0
3534.0|6903.0|0.0
3534.0|1302.0|0.0
3534.0|7219.0|0.0
3534.0|137.0|0.0
3534.0|711.0|0.0
3534.0|924.0|0.0
3534.0|2735.0|0.0
3534.0|6939.0|0.0
3534.0|6527.0|0.0
3534.0|7746.0|0.0
3534.0|733.0|0.0
3534.0|3013.0|0.0
3534.0|7665.0|0.0
3534.0|5656.0|0.0
3534.0|1252.0|0.0
3534.0|4147.0|0.0
3534.0|2795.0|0.0
3534.0|3629.0|0.0
3534.0|4667.0|0.0
3534.0|506.0|0.0
3534.0|7765.0|0.0
3534.0|7513.0|0.0
3534.0|1606.0|0.0
3534.0|5229.0|0.0
3534.0|6938.0|0.0
3534.0|639.0|0.0
3534.0|654.0|0.0
3534.0|2747.0|0.0
3534.0|4257.0|0.0
3534.0|7411.0|0.0
3534.0|696.0|0.0
3534.0|7297.0|0.0
3534.0|4268.0|0.0
3534.0|514.0|0.0
3534.0|2029.0|0.0
3534.0|4520.0|0.0
3534.0|1018.0|0.0
3534.0|3119.0|0.0
3534.0|8310.0|0.0
3534.0|8302.0|0.0
3534.0|1763.0|0.0
3534.0|1092.0|0.0
1097.0|142.0|0.0
1097.0|8052.0|0.0
1097.0|350.0|0.0
1097.0|271.0|0.0
1097.0|3586.0|0.0
1097.0|7345.0|0.0
1097.0|3987.0|0.0
1097.0|4648.0|0.0
1097.0|492.0|0.0
1097.0|2212.0|0.0
